Change#,X,Y,Width,Height
1,52,781,56,16
2,767,763,24,35
3,639,757,21,34
4,750,752,21,43
5,638,704,60,30
6,360,677,40,34
7,257,675,40,121
8,141,605,74,33
9,397,588,26,37
10,163,578,81,25
11,218,568,105,57
12,754,512,43,285
13,732,510,35,33
14,9,507,60,34
15,157,441,88,94
16,149,422,32,26
17,705,398,18,56
18,88,394,26,23
19,750,387,19,39
20,206,347,45,73
21,123,299,47,127
22,40,297,83,88
23,92,294,37,24
24,262,284,64,25
25,143,269,70,20
26,718,267,51,17
27,215,262,48,34
28,42,250,43,25
29,80,220,49,40
30,78,211,21,28
31,194,205,63,29
32,101,169,40,66
33,318,168,31,79
34,292,157,31,89
35,249,133,27,48
36,69,129,36,57
37,138,115,220,167
38,160,112,94,66
39,293,100,37,62
40,234,96,53,20
41,0,0,798,798

Total Changes Detected,41
2025-06-15 23:06:52,657,706,41,17
2025-06-15 23:06:52,187,656,68,54
2025-06-15 23:06:52,139,654,33,77
2025-06-15 23:06:52,48,653,44,33
2025-06-15 23:06:52,135,621,23,37
2025-06-15 23:06:52,223,589,53,49
2025-06-15 23:06:52,518,587,38,70
2025-06-15 23:06:52,438,585,69,38
2025-06-15 23:06:52,141,578,83,59
2025-06-15 23:06:52,395,571,60,24
2025-06-15 23:06:52,328,544,49,79
2025-06-15 23:06:52,657,525,47,20
2025-06-15 23:06:52,703,512,24,39
2025-06-15 23:06:52,238,472,20,69
2025-06-15 23:06:52,376,457,27,52
2025-06-15 23:06:52,362,452,194,131
2025-06-15 23:06:52,122,452,19,71
2025-06-15 23:06:52,555,437,25,42
2025-06-15 23:06:52,239,426,133,175
2025-06-15 23:06:52,488,425,40,31
2025-06-15 23:06:52,369,421,41,18
2025-06-15 23:06:52,85,411,37,47
2025-06-15 23:06:52,446,399,67,35
2025-06-15 23:06:52,361,384,104,41
2025-06-15 23:06:52,76,380,26,43
2025-06-15 23:06:52,577,355,27,45
2025-06-15 23:06:52,72,338,28,28
2025-06-15 23:06:52,540,315,37,76
2025-06-15 23:06:52,205,314,31,43
2025-06-15 23:06:52,122,296,18,50
2025-06-15 23:06:52,509,284,57,42
2025-06-15 23:06:52,98,281,28,43
2025-06-15 23:06:52,229,262,176,174
2025-06-15 23:06:52,236,262,29,38
2025-06-15 23:06:52,353,254,192,166
2025-06-15 23:06:52,105,226,42,35
2025-06-15 23:06:52,126,218,126,322
2025-06-15 23:06:52,457,193,27,62
2025-06-15 23:06:52,309,163,19,69
2025-06-15 23:06:52,77,147,60,79
2025-06-15 23:06:52,253,141,27,67
2025-06-15 23:06:52,165,131,89,83
2025-06-15 23:06:52,290,128,40,93
2025-06-15 23:06:52,164,117,33,20
2025-06-15 23:06:52,139,106,18,121
2025-06-15 23:06:52,282,101,45,34
2025-06-15 23:06:52,325,97,21,52
2025-06-15 23:06:52,438,94,101,45
2025-06-15 23:06:52,252,82,81,22
2025-06-15 23:06:52,214,22,64,64
2025-06-15 23:06:52,0,0,800,800
11,483,64,61,2025-06-15 23:11:30
272,482,58,79,2025-06-15 23:11:30
0,455,54,58,2025-06-15 23:11:30
87,445,37,40,2025-06-15 23:11:30
137,423,42,35,2025-06-15 23:11:30
44,418,48,63,2025-06-15 23:11:30
241,351,23,39,2025-06-15 23:11:30
0,337,89,85,2025-06-15 23:11:30
103,310,134,135,2025-06-15 23:11:30
123,289,25,44,2025-06-15 23:11:30
78,236,28,92,2025-06-15 23:11:30
147,212,107,103,2025-06-15 23:11:30
225,208,129,149,2025-06-15 23:11:30
54,192,121,62,2025-06-15 23:11:30
104,132,48,36,2025-06-15 23:11:30
43,109,56,117,2025-06-15 23:11:30
150,68,77,62,2025-06-15 23:11:30
145,50,48,36,2025-06-15 23:11:30
82,38,61,48,2025-06-15 23:11:30
0,0,529,600,2025-06-15 23:11:30
11,483,64,61,2025-06-15 23:11:48
272,482,58,79,2025-06-15 23:11:48
0,455,54,58,2025-06-15 23:11:48
87,445,37,40,2025-06-15 23:11:48
137,423,42,35,2025-06-15 23:11:48
44,418,48,63,2025-06-15 23:11:48
241,351,23,39,2025-06-15 23:11:48
0,337,89,85,2025-06-15 23:11:48
103,310,134,135,2025-06-15 23:11:48
123,289,25,44,2025-06-15 23:11:48
78,236,28,92,2025-06-15 23:11:48
147,212,107,103,2025-06-15 23:11:48
225,208,129,149,2025-06-15 23:11:48
54,192,121,62,2025-06-15 23:11:48
104,132,48,36,2025-06-15 23:11:48
43,109,56,117,2025-06-15 23:11:48
150,68,77,62,2025-06-15 23:11:48
145,50,48,36,2025-06-15 23:11:48
82,38,61,48,2025-06-15 23:11:48
0,0,529,600,2025-06-15 23:11:48
93,433,51,50,2025-06-15 23:11:58
302,428,75,148,2025-06-15 23:11:58
264,419,60,30,2025-06-15 23:11:58
259,373,60,52,2025-06-15 23:11:58
248,342,26,47,2025-06-15 23:11:58
269,323,245,194,2025-06-15 23:11:58
30,318,53,79,2025-06-15 23:11:58
111,301,137,147,2025-06-15 23:11:58
130,278,26,47,2025-06-15 23:11:58
74,232,45,109,2025-06-15 23:11:58
48,208,55,37,2025-06-15 23:11:58
155,195,195,143,2025-06-15 23:11:58
339,188,44,65,2025-06-15 23:11:58
125,177,36,26,2025-06-15 23:11:58
111,83,47,66,2025-06-15 23:11:58
217,71,145,126,2025-06-15 23:11:58
499,9,26,36,2025-06-15 23:11:58
0,0,533,601,2025-06-15 23:11:58
93,433,51,50,2025-06-15 23:13:33
302,428,75,148,2025-06-15 23:13:33
264,419,60,30,2025-06-15 23:13:33
259,373,60,52,2025-06-15 23:13:33
248,342,26,47,2025-06-15 23:13:33
269,323,245,194,2025-06-15 23:13:33
30,318,53,79,2025-06-15 23:13:33
111,301,137,147,2025-06-15 23:13:33
130,278,26,47,2025-06-15 23:13:33
74,232,45,109,2025-06-15 23:13:33
48,208,55,37,2025-06-15 23:13:33
155,195,195,143,2025-06-15 23:13:33
339,188,44,65,2025-06-15 23:13:33
125,177,36,26,2025-06-15 23:13:33
111,83,47,66,2025-06-15 23:13:33
217,71,145,126,2025-06-15 23:13:33
499,9,26,36,2025-06-15 23:13:33
0,0,533,601,2025-06-15 23:13:33
93,433,51,50,2025-06-16 11:04:21
302,428,75,148,2025-06-16 11:04:21
264,419,60,30,2025-06-16 11:04:21
259,373,60,52,2025-06-16 11:04:21
248,342,26,47,2025-06-16 11:04:21
269,323,245,194,2025-06-16 11:04:21
30,318,53,79,2025-06-16 11:04:21
111,301,137,147,2025-06-16 11:04:21
130,278,26,47,2025-06-16 11:04:21
74,232,45,109,2025-06-16 11:04:21
48,208,55,37,2025-06-16 11:04:21
155,195,195,143,2025-06-16 11:04:21
339,188,44,65,2025-06-16 11:04:21
125,177,36,26,2025-06-16 11:04:21
111,83,47,66,2025-06-16 11:04:21
217,71,145,126,2025-06-16 11:04:21
499,9,26,36,2025-06-16 11:04:21
0,0,533,601,2025-06-16 11:04:21
93,433,51,50,2025-06-16 11:09:06
302,428,75,148,2025-06-16 11:09:06
264,419,60,30,2025-06-16 11:09:06
259,373,60,52,2025-06-16 11:09:06
248,342,26,47,2025-06-16 11:09:06
269,323,245,194,2025-06-16 11:09:06
30,318,53,79,2025-06-16 11:09:06
111,301,137,147,2025-06-16 11:09:06
130,278,26,47,2025-06-16 11:09:06
74,232,45,109,2025-06-16 11:09:06
48,208,55,37,2025-06-16 11:09:06
155,195,195,143,2025-06-16 11:09:06
339,188,44,65,2025-06-16 11:09:06
125,177,36,26,2025-06-16 11:09:06
111,83,47,66,2025-06-16 11:09:06
217,71,145,126,2025-06-16 11:09:06
499,9,26,36,2025-06-16 11:09:06
0,0,533,601,2025-06-16 11:09:06
93,433,51,50,2025-06-16 11:09:31
302,428,75,148,2025-06-16 11:09:31
264,419,60,30,2025-06-16 11:09:31
259,373,60,52,2025-06-16 11:09:31
248,342,26,47,2025-06-16 11:09:31
269,323,245,194,2025-06-16 11:09:31
30,318,53,79,2025-06-16 11:09:31
111,301,137,147,2025-06-16 11:09:31
130,278,26,47,2025-06-16 11:09:31
74,232,45,109,2025-06-16 11:09:31
48,208,55,37,2025-06-16 11:09:31
155,195,195,143,2025-06-16 11:09:31
339,188,44,65,2025-06-16 11:09:31
125,177,36,26,2025-06-16 11:09:31
111,83,47,66,2025-06-16 11:09:31
217,71,145,126,2025-06-16 11:09:31
499,9,26,36,2025-06-16 11:09:31
0,0,533,601,2025-06-16 11:09:31
93,433,51,50,2025-06-16 11:11:00
302,428,75,148,2025-06-16 11:11:00
264,419,60,30,2025-06-16 11:11:00
259,373,60,52,2025-06-16 11:11:00
248,342,26,47,2025-06-16 11:11:00
269,323,245,194,2025-06-16 11:11:00
30,318,53,79,2025-06-16 11:11:00
111,301,137,147,2025-06-16 11:11:00
130,278,26,47,2025-06-16 11:11:00
74,232,45,109,2025-06-16 11:11:00
48,208,55,37,2025-06-16 11:11:00
155,195,195,143,2025-06-16 11:11:00
339,188,44,65,2025-06-16 11:11:00
125,177,36,26,2025-06-16 11:11:00
111,83,47,66,2025-06-16 11:11:00
217,71,145,126,2025-06-16 11:11:00
499,9,26,36,2025-06-16 11:11:00
0,0,533,601,2025-06-16 11:11:00
93,433,51,50,2025-06-16 11:14:02
302,428,75,148,2025-06-16 11:14:02
264,419,60,30,2025-06-16 11:14:02
